,game_id,gameCount,Team 1,Team 2,Team 1 Score,Team 2 Score,Team 1 Win,Team 2 Win,Team 1 Rushing Attempts,Team 2 Rushing Attempts,Team 1 Rushing Yards,Team 2 Rushing Yards,Team 1 YPC,Team 2 YPC,Team 1 Pass Completions,Team 2 Pass Completions,Team 1 Pass Attempts,Team 2 Pass Attempts,Team 1 Completion Percentage,Team 2 Completion Percentage,Team 1 YPA,Team 2 YPA,Team 1 Passing Yards,Team 2 Passing Yards,Team 1 Total Yards,Team 2 Total Yards,Team 1 Times Sacked,Team 2 Times Sacked,Team 1 Sack Yardage,Team 2 Sack Yardage,Team 1 3rd Down Conversions,Team 2 3rd Down Conversions,Team 1 3rd Down Attempts,Team 2 3rd Down Attempts,Team 1 3rd Down Conversion Rate,Team 2 3rd Down Conversion Rate,Team 1 Turnovers on Downs,Team 2 Turnovers on Downs,Team 1 Fumbles Lost,Team 2 Fumbles Lost,Team 1 Interceptions Thrown,Team 2 Interceptions Thrown,Team 1 Total Turnovers,Team 2 Total Turnovers,Team 1 Penalties,Team 2 Penalties,Team 1 Penalty Yardage,Team 2 Penalty Yardage
0,2017091709,24,MIA,LAC,19,17,1,0,32.0,14.0,111.0,44.0,3.5,3.1,24.0,31.0,34.0,39.0,70.6,79.5,6.6,8.3,225.0,323.0,336.0,367.0,2.0,1.0,-5.0,-8.0,5.0,2.0,13.0,8.0,38.5,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,23.0,56.0
1,2017092412,43,GB,CIN,27,24,1,0,17.0,30.0,64.0,110.0,3.8,3.7,28.0,21.0,42.0,27.0,66.7,77.8,6.7,7.1,280.0,191.0,344.0,301.0,6.0,3.0,-33.0,-21.0,7.0,4.0,15.0,12.0,46.7,33.3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,7.0,33.0,68.0
2,2017100800,63,TB,NE,14,19,0,1,20.0,23.0,90.0,113.0,4.5,4.9,26.0,30.0,46.0,40.0,56.5,75.0,6.9,7.2,319.0,289.0,409.0,402.0,2.0,3.0,-15.0,-14.0,4.0,4.0,13.0,12.0,30.8,33.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,9.0,12.0,70.0,108.0
3,2017100802,65,CLE,NYJ,14,17,0,1,33.0,18.0,140.0,34.0,4.2,1.9,24.0,23.0,36.0,30.0,66.7,76.7,7.8,5.9,279.0,178.0,419.0,212.0,1.0,3.0,-2.0,-16.0,6.0,4.0,14.0,12.0,42.9,33.3,1.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,6.0,9.0,60.0,80.0
4,2017101501,78,MIA,ATL,20,17,1,0,31.0,18.0,138.0,100.0,4.5,5.6,19.0,24.0,33.0,35.0,57.6,68.6,4.6,6.8,151.0,239.0,289.0,339.0,0.0,2.0,0.0,-9.0,5.0,6.0,12.0,11.0,41.7,54.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,6.0,42.0,73.0
5,2017111205,137,JAX,LAC,20,17,1,0,27.0,30.0,135.0,87.0,5.0,2.9,28.0,21.0,51.0,37.0,54.9,56.8,5.2,6.4,263.0,235.0,398.0,322.0,3.0,0.0,-10.0,0.0,5.0,3.0,18.0,15.0,27.8,20.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,9.0,7.0,106.0,77.0
6,2017111901,147,DET,CHI,27,24,1,0,24.0,30.0,65.0,222.0,2.7,7.4,21.0,18.0,31.0,30.0,67.7,60.0,9.3,5.9,287.0,176.0,352.0,398.0,3.0,1.0,-12.0,-3.0,3.0,3.0,10.0,9.0,30.0,33.3,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0,5.0,49.0,64.0
7,2017111906,152,WAS,NO,31,34,0,1,33.0,23.0,156.0,160.0,4.7,7.0,22.0,29.0,32.0,41.0,68.8,70.7,9.4,9.1,300.0,375.0,456.0,535.0,2.0,2.0,-22.0,-10.0,4.0,4.0,12.0,12.0,33.3,33.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,7.0,67.0,54.0
8,2017112606,168,NYJ,CAR,27,35,0,1,26.0,33.0,109.0,145.0,4.2,4.4,19.0,11.0,36.0,28.0,52.8,39.3,7.8,5.5,282.0,154.0,391.0,299.0,3.0,3.0,-25.0,-14.0,5.0,3.0,14.0,14.0,35.7,21.4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,10.0,68.0,84.0
9,2017112700,174,GB,PIT,28,31,0,1,24.0,24.0,80.0,121.0,3.3,5.0,17.0,33.0,26.0,45.0,65.4,73.3,8.7,7.6,227.0,341.0,307.0,462.0,4.0,1.0,-18.0,-10.0,6.0,8.0,13.0,13.0,46.2,61.5,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,3.0,5.0,27.0,45.0
10,2017120304,180,CHI,SF,14,15,0,1,18.0,34.0,60.0,110.0,3.3,3.2,12.0,26.0,15.0,37.0,80.0,70.3,5.7,7.5,85.0,278.0,145.0,388.0,2.0,2.0,-17.0,-15.0,5.0,10.0,10.0,18.0,50.0,55.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,8.0,29.0,53.0
11,2017120305,181,GB,TB,26,20,1,0,29.0,35.0,199.0,165.0,6.9,4.7,13.0,21.0,22.0,32.0,59.1,65.6,3.5,7.2,77.0,230.0,276.0,395.0,2.0,7.0,-7.0,-40.0,5.0,9.0,12.0,16.0,41.7,56.2,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,7.0,8.0,47.0,74.0
12,2017121100,205,PIT,BAL,39,38,1,0,16.0,26.0,59.0,152.0,3.7,5.8,44.0,20.0,66.0,35.0,66.7,57.1,7.4,7.5,486.0,261.0,545.0,413.0,3.0,1.0,-20.0,-8.0,12.0,4.0,18.0,10.0,66.7,40.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,5.0,101.0,35.0
13,2017121710,219,NE,PIT,27,24,1,0,19.0,31.0,77.0,143.0,4.1,4.6,22.0,22.0,35.0,30.0,62.9,73.3,8.1,9.0,283.0,270.0,360.0,413.0,2.0,2.0,-15.0,-11.0,3.0,10.0,9.0,16.0,33.3,62.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,6.0,4.0,63.0
14,2017122401,225,CAR,TB,22,19,1,0,31.0,24.0,115.0,66.0,3.7,2.8,16.0,21.0,26.0,27.0,61.5,77.8,5.4,12.1,140.0,326.0,255.0,392.0,2.0,6.0,-20.0,-41.0,4.0,6.0,13.0,11.0,30.8,54.5,0.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,6.0,12.0,50.0,72.0
15,2017123111,249,NO,TB,24,31,0,1,26.0,27.0,92.0,106.0,3.5,3.9,22.0,28.0,30.0,51.0,73.3,54.9,7.7,6.8,231.0,345.0,323.0,451.0,2.0,2.0,-14.0,-18.0,6.0,13.0,12.0,18.0,50.0,72.2,1.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,7.0,2.0,38.0,15.0
